J,nj,cluster_a,cluster_y,cluster_m,estimator,effname,abs.performance,abs.value_mean,abs.value_min,abs.value_max
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(0))",|Bias|,0.010433919608332757,0.0074864176279905185,0.01498068851855861
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.006675118498905713,0.004782769898136807,0.009582638288975149
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.31200200726084987,0.2809017859174124,0.3384460701531691
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(1))",|Bias|,0.024748304090838016,0.011292505785519642,0.03928334235416654
20,10,FE,FE,RE,multi,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.015457289877233094,0.0070558767677275334,0.02449681823704365
20,10,FE,FE,RE,multi,"Y(1,gmjo(0))",sqrtMSE,0.30980348610118297,0.2740867276152429,0.33868422370431295
20,10,FE,FE,RE,multi,"Y(1,gmjo(0))",|Bias|,0.008736034704829131,0.004840834558631272,0.012517371304286772
20,10,FE,FE,RE,multi,"Y(1,gmjo(0))",|Rel.Bias|,0.005658521334578558,0.0031363758905018943,0.008092576714669165
20,10,FE,FE,RE,multi,"Y(1,gmjo(1))",sqrtMSE,0.3129260818185566,0.28241109221408023,0.33977892409503424
20,10,FE,FE,RE,multi,"Y(1,gmjo(1))",|Bias|,0.03588668941977029,0.02209232683750159,0.050313774170255156
20,10,FE,FE,RE,multi,"Y(1,gmjo(1))",|Rel.Bias|,0.02226339404692117,0.013709009104099194,0.0311576405524099
20,10,FE,FE,RE,reg,"IDE(,gmjo(0))",sqrtMSE,0.32241487608251423,0.2976004914603571,0.3449819650897297
20,10,FE,FE,RE,reg,"IDE(,gmjo(0))",|Bias|,0.0694978937855269,0.058033080048181605,0.07591517956848448
20,10,FE,FE,RE,reg,"IDE(,gmjo(0))",|Rel.Bias|,0.2579842807724899,0.21680020434533753,0.28035628548490016
20,10,FE,FE,RE,reg,"IIE_M1(1,,gm2(0))",sqrtMSE,0.04686983579611215,0.042353285998627095,0.05221677881653254
20,10,FE,FE,RE,reg,"IIE_M1(1,,gm2(0))",|Bias|,0.0016039867136898556,9.650648410513336e-4,0.0020832897138320155
20,10,FE,FE,RE,reg,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.06471226945381438,0.037006448215219166,0.08755608620790414
20,10,FE,FE,RE,reg,"IIE_M2(1,gm1(1),)",sqrtMSE,0.05381797638606006,0.050627331255758475,0.05812488705538046
20,10,FE,FE,RE,reg,"IIE_M2(1,gm1(1),)",|Bias|,0.012748750469258746,0.01147293264745544,0.014687593406888967
20,10,FE,FE,RE,reg,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.34046923870065354,0.31926195720013345,0.3700418486124632
20,10,FE,FE,RE,reg,IIE_Mdep,sqrtMSE,0.005742370445235874,0.004971128298365407,0.006591615600972299
20,10,FE,FE,RE,reg,IIE_Mdep,|Bias|,0.005742370445235874,0.004971128298365407,0.006591615600972299
20,10,FE,FE,RE,reg,IIE_Mdep,|Rel.Bias|,1,0.9999999999999998,1.0000000000000004
20,10,FE,FE,RE,reg,"IIE_Mjo(1,)",sqrtMSE,0.07858066734129199,0.0737436788776858,0.08592708912485143
20,10,FE,FE,RE,reg,"IIE_Mjo(1,)",|Bias|,0.01961257520765881,0.017824566249981504,0.021431078053994895
20,10,FE,FE,RE,reg,"IIE_Mjo(1,)",|Rel.Bias|,0.28833551985887995,0.27080944513832717,0.3068079202527203
20,10,FE,FE,RE,reg,"Y(0,gmjo(0))",sqrtMSE,0.31567194180662705,0.2940564506162031,0.33695802612775955
20,10,FE,FE,RE,reg,"Y(0,gmjo(0))",|Bias|,0.06226608721037205,0.053309825223206465,0.06878350704726244
20,10,FE,FE,RE,reg,"Y(0,gmjo(0))",|Rel.Bias|,0.04882734285264288,0.041842197031843255,0.0538818355712326
20,10,FE,FE,RE,reg,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.29681400038050143,0.2696311999932563,0.32390383328581135
20,10,FE,FE,RE,reg,"Y(1,gm1(0),gm2(0))",|Bias|,0.005501024476889907,0.0019528348042478702,0.009465207236848253
20,10,FE,FE,RE,reg,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.003582022032424349,0.0012780433162157443,0.006162786321682995
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.30109435809369833,0.2761226504847014,0.3271842778010792
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(0))",|Bias|,0.005628935272196384,0.003333340108408521,0.008500142395796847
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.003604434426456453,0.0021413747636140922,0.005442583091562382
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.30640659774830603,0.28263298131145814,0.3310842394620779
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(1))",|Bias|,0.015664069450237808,0.007425142874872554,0.02318773580268582
20,10,FE,FE,RE,reg,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.00978361368843122,0.004638756051304838,0.014474816560340222
20,10,FE,FE,RE,reg,"Y(1,gmjo(0))",sqrtMSE,0.2968949039577874,0.26988615692705686,0.32399969089440644
20,10,FE,FE,RE,reg,"Y(1,gmjo(0))",|Bias|,0.007967221419198227,0.0014708296880868391,0.01505568005829438
20,10,FE,FE,RE,reg,"Y(1,gmjo(0))",|Rel.Bias|,0.00516232350416172,9.558357966205092e-4,0.009766280354018267
20,10,FE,FE,RE,reg,"Y(1,gmjo(1))",sqrtMSE,0.30717928194162714,0.28377447643610476,0.331845366782782
20,10,FE,FE,RE,reg,"Y(1,gmjo(1))",|Bias|,0.026844381782813634,0.019960248365908057,0.03438109984491323
20,10,FE,FE,RE,reg,"Y(1,gmjo(1))",|Rel.Bias|,0.01665062992791331,0.012376419529774578,0.0213129632353541
20,10,FE,FE,RE,rmpw,"IDE(,gmjo(0))",sqrtMSE,0.37658621266116327,0.2826335470725159,0.49914779637228535
20,10,FE,FE,RE,rmpw,"IDE(,gmjo(0))",|Bias|,0.2261425787573099,0.09436488679660805,0.3672027099663898
20,10,FE,FE,RE,rmpw,"IDE(,gmjo(0))",|Rel.Bias|,0.8380671804817311,0.3523473902388263,1.3557049836896948
20,10,FE,FE,RE,rmpw,"IIE_M1(1,,gm2(0))",sqrtMSE,0.09125904100691609,0.08408849019771489,0.09399992864908917
20,10,FE,FE,RE,rmpw,"IIE_M1(1,,gm2(0))",|Bias|,0.0403184491434562,0.03478957459473968,0.04738449800908624
20,10,FE,FE,RE,rmpw,"IIE_M1(1,,gm2(0))",|Rel.Bias|,1.6194915457848966,1.3358592882545468,1.8549029976551672
20,10,FE,FE,RE,rmpw,"IIE_M2(1,gm1(1),)",sqrtMSE,0.103767420709397,0.09981347826091161,0.10645732549869526
20,10,FE,FE,RE,rmpw,"IIE_M2(1,gm1(1),)",|Bias|,0.03152423936292957,0.024949290731754534,0.037660635003529806
20,10,FE,FE,RE,rmpw,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.8438294864744077,0.7099863592097763,1.0481830487602912
20,10,FE,FE,RE,rmpw,IIE_Mdep,sqrtMSE,0.018016433855304784,0.016900388176888617,0.019207064005305634
20,10,FE,FE,RE,rmpw,IIE_Mdep,|Bias|,0.008908302779080361,0.007819399207854296,0.009972697973894796
20,10,FE,FE,RE,rmpw,IIE_Mdep,|Rel.Bias|,1.5532948876744201,1.5123923907058976,1.6021946863993226
20,10,FE,FE,RE,rmpw,"IIE_Mjo(1,)",sqrtMSE,0.13550512959270664,0.12602911051919252,0.14071318345180073
20,10,FE,FE,RE,rmpw,"IIE_Mjo(1,)",|Bias|,0.0629343857273054,0.05105298025624306,0.07399015111775209
20,10,FE,FE,RE,rmpw,"IIE_Mjo(1,)",|Rel.Bias|,0.9268908362420907,0.7423760286753529,1.1434489041911113
20,10,FE,FE,RE,rmpw,"Y(0,gmjo(0))",sqrtMSE,0.3271456900336281,0.2727443235349031,0.3854007588231166
20,10,FE,FE,RE,rmpw,"Y(0,gmjo(0))",|Bias|,0.1435631931620405,0.085682417926867,0.20051329591652595
20,10,FE,FE,RE,rmpw,"Y(0,gmjo(0))",|Rel.Bias|,0.11254846908131534,0.06721569128943787,0.15700450076244724
20,10,FE,FE,RE,rmpw,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.32773624506599,0.2776521757631964,0.392667012655438
